step,time,ResidMax,ResidRMS,DilMax,IntDiv,IntAbsDiv,dt
70,0.68055556,1.92353459,0.70435235,2.08729473,-0.14634192,0.17179687,0.00972222
71,0.69027778,1.92437392,0.69091614,2.08033434,-0.14746623,0.17274297,0.00972222
72,0.70000000,1.92293693,0.67781974,2.07230087,-0.14857094,0.17365846,0.00972222
73,0.70972222,1.91962094,0.66505306,2.06323798,-0.14965627,0.17455088,0.00972222
74,0.71944444,1.91476136,0.65260597,2.05319068,-0.15072247,0.17541666,0.00972222
75,0.72916667,1.91619632,0.64046841,2.04220490,-0.15176974,0.17626730,0.00972222
76,0.73888889,1.92540201,0.62863032,2.03032714,-0.15279834,0.17709569,0.00972222
77,0.74861111,1.93218225,0.61708176,2.01760404,-0.15380850,0.17789807,0.00972222
78,0.75833333,1.93673605,0.60581293,2.00408209,-0.15480045,0.17867138,0.00972222
79,0.76805556,1.93923979,0.59481418,1.98980727,-0.15577443,0.17942515,0.00972222
80,0.77777778,1.93984709,0.58407609,1.97482484,-0.15673070,0.18015810,0.00972222
81,0.78750000,1.93868940,0.57358950,1.95917906,-0.15766949,0.18087099,0.00972222
82,0.79722222,1.93587731,0.56334557,1.94291300,-0.15859104,0.18157502,0.00972222
83,0.80694444,1.93150227,0.55333576,1.92606838,-0.15949561,0.18227578,0.00972222
84,0.81666667,1.92563875,0.54355191,1.90868541,-0.16038342,0.18298206,0.00972222
85,0.82638889,1.91834659,0.53398623,1.89080272,-0.16125473,0.18368416,0.00972222
86,0.83611111,1.90967349,0.52463131,1.87245725,-0.16210978,0.18438350,0.00972222
87,0.84583333,1.89965761,0.51548015,1.85368423,-0.16294880,0.18507431,0.00972222
88,0.85555556,1.88992143,0.50652612,1.83451711,-0.16377205,0.18575540,0.00972222
89,0.86527778,1.87969826,0.49776303,1.81498761,-0.16457974,0.18643083,0.00972222
90,0.87500000,1.86812981,0.48918502,1.81148908,-0.16537213,0.18709724,0.00972222
91,0.88472222,1.85521634,0.48078664,1.85440773,-0.16614944,0.18775300,0.00972222
92,0.89444444,1.84095902,0.47256279,1.89691488,-0.16691190,0.18839787,0.00972222
93,0.90416667,1.82536180,0.46450871,1.93898142,-0.16765975,0.18903606,0.00972222
94,0.91388889,1.80843302,0.45662000,1.98057698,-0.16839320,0.18966258,0.00972222
95,0.92361111,1.79018669,0.44889254,2.02166996,-0.16911248,0.19027805,0.00972222
96,0.93333333,1.77064354,0.44132255,2.06222761,-0.16981782,0.19088335,0.00972222
97,0.94305556,1.74983176,0.43390652,2.10221617,-0.17050943,0.19148106,0.00972222
98,0.95277778,1.72778738,0.42664121,2.14160114,-0.17118752,0.19207148,0.00972222
99,0.96250000,1.70455451,0.41952364,2.18034748,-0.17185230,0.19264879,0.00972222
100,0.97222222,1.68018520,0.41255106,2.21842002,-0.17250400,0.19321734,0.00972222
101,0.98194444,1.65473910,0.40572092,2.25578372,-0.17314280,0.19377483,0.00972222
102,0.99166667,1.62828296,0.39903090,2.29240405,-0.17376893,0.19432252,0.00972222
103,1.00138889,1.60088995,0.39247882,2.32824738,-0.17438257,0.19485877,0.00972222
104,1.01111111,1.57263877,0.38606265,2.36328127,-0.17498392,0.19538556,0.00972222
105,1.02083333,1.54361277,0.37978051,2.39747484,-0.17557319,0.19590339,0.00972222
106,1.03055556,1.51389893,0.37363060,2.43079908,-0.17615056,0.19641079,0.00972222
107,1.04027778,1.48358687,0.36761119,2.46322707,-0.17671623,0.19690741,0.00972222
108,1.05000000,1.45640559,0.36172063,2.49473432,-0.17727039,0.19739155,0.00972222
109,1.05972222,1.43212645,0.35595729,2.52529886,-0.17781321,0.19786435,0.00972222
110,1.06944444,1.40722823,0.35031955,2.55490149,-0.17834489,0.19832571,0.00972222
